x1,x2,x3,x4,x5,x6,position
10.470835168,17.833845631,2.1201721441,4.3841140708,13.919003215,3.7846381534,1
2.9909553565,14.815771941,6.8884706581,5.4215563582,3.3839395493,9.7673218455,2
8.3820534647,6.0213588364,3.0911190638,4.2377227908,1.0317210816,4.9390504516,3
9.3184435368,15.958915182,2.1378756003,7.0205132063,15.86725856,5.8203947837,4
11.505995288,18.010940958,13.957793627,6.8944481588,13.565849278,7.6554410788,5
15.822673973,1.2998707835,13.541314459,5.7454091706,3.4670053795,6.6222601428,6
16.301818661,4.3723437875,12.229589664,1.3800889538,11.877727237,9.5926276655,7
3.7646711841,7.6166162728,3.7987640882,7.902325307,16.497045171,3.9920380521,8
10.619400159,14.770436951,10.415115477,17.83738121,13.266457718,5.4122207388,9
15.514977325,5.8965288373,12.475254748,15.648255071,6.6095334813,10.17065729,10
10.198440198,10.843025728,1.3750076324,7.2054736963,3.9330167025,10.527793297,11
10.527819302,1.781452917,11.453159288,2.3980086572,3.487915948,5.9920962593,12
12.539345376,12.616354422,11.756531299,5.3631869638,3.148153156,6.9030535123,13
12.465966154,11.738123212,12.855191727,17.166176207,8.6304120049,12.817979971,14
6.7689806856,1.1550886948,10.829214933,16.329237027,11.081863649,13.182669163,15
12.015061554,16.083019908,13.418689586,15.113098725,9.6950731203,7.4621613852,16
11.920837931,7.0499600475,1.3678737199,13.914649624,3.4522051886,7.3415988577,17
7.9455155209,18.853239195,12.034270793,14.509275594,6.7828576006,2.2828363443,18
8.7899958603,15.027021902,9.8911554674,1.3131113239,6.299108278,1.2644027479,19
16.665153284,8.9664637884,5.5349017498,6.9443534571,9.6670120582,10.036538477,20
9.0404247567,14.979546919,12.280299388,17.472452009,1.8149227947,10.176035929,21
14.239752047,12.870638724,9.5557787139,6.7716718181,15.512630548,7.9252458566,22
15.550376911,13.095467808,9.3589904797,8.4329541009,13.338250194,2.2461492356,23
5.1300792284,14.556711274,5.5269948686,18.408210026,15.127951995,13.21418028,24
15.759768169,14.209445283,13.779588497,13.885367588,4.8453615792,13.086917665,25
5.2155604064,9.2184475395,8.1394572745,11.60299633,4.1100308858,1.695666149,26
13.112243325,16.205603561,11.93995568,11.147620883,3.4500801973,3.7160520949,27
16.104151074,17.981030505,13.075497555,6.3197377627,12.298982583,9.1544318912,28
4.86376293,16.387130489,8.8296305169,6.514498617,9.7757604159,7.4590406623,29
4.7001569122,15.916515241,6.1990393838,7.8944964879,2.3926193714,13.06322307,30
8.1318645813,18.615355406,4.9487991608,10.728053065,4.2420838214,4.9371522707,31
10.425743338,15.93938272,11.922737431,3.3626435292,9.1803136617,13.524903364,32
15.041596245,8.7593884012,9.3098515857,13.967506719,14.394815817,3.3738860753,33
2.5602699481,5.6379371583,10.16570638,6.1280819718,15.398557115,10.269792918,34
2.0843381025,4.3206318244,8.0644978774,9.8590068081,12.631783552,8.5964857852,35
15.855984636,7.884247696,10.257925659,18.082583745,10.791816324,1.4064044727,36
12.675733045,5.9135569669,13.466362983,8.2900416921,3.0349571556,13.035160787,37
16.241650116,15.751704549,5.5914700748,1.2849550568,7.582205683,11.349030705,38
7.148871623,17.991458749,13.746848561,2.1459713667,5.9085486941,10.485947728,39
1.2959086895,13.611495985,7.6225793802,4.6383438869,3.3820477687,6.9014725732,40
