x1,x2,x3,x4,x5,x6,position
15.06499226,18.621651134,13.326751055,15.621880922,14.284434043,3.741541781,1
15.057752613,18.519331942,13.23745484,5.0954635032,1.8331555389,10.709007252,2
15.943727728,17.269597086,13.082494184,5.3797108843,10.10603705,13.875550446,3
16.474818341,16.741340719,12.963284039,15.413339976,8.2815160342,4.4737494437,4
13.301875781,18.82293828,13.947035051,7.3085163506,1.2730987333,9.9217258675,5
16.872532159,14.068149073,13.605157531,15.291192416,2.8530959748,8.1070863833,6
14.670305982,18.578077462,11.132173841,12.498859908,8.4035052322,8.0738351236,7
15.963881295,16.79751325,10.137843036,16.853670312,1.6630953923,2.8394854823,8
14.628600284,18.654685396,9.2854795086,13.226056703,3.1529215947,4.9170380333,9
14.488841485,16.64939575,10.907670334,8.3611853123,11.949607391,7.0117018018,10
10.513718177,17.743281271,13.565500234,7.4396451153,11.426450778,6.7305632199,11
15.090264827,17.686354473,8.6133141515,17.925566635,9.6647497788,8.8069742138,12
16.494167324,13.365432523,11.271470047,14.819927613,16.349717695,5.3488382068,13
15.63507675,15.016837722,10.381030158,3.6823834674,7.0411717966,4.9319134729,14
15.717668518,15.696810065,9.5456307821,10.574918875,14.186131794,7.6392465907,15
15.663162351,16.125440351,9.1498612138,15.041481892,1.8298982568,10.065550636,16
14.472809769,17.133059169,9.1404508916,14.02077469,13.689311683,13.08195512,17
15.778810773,15.849014421,8.9054792933,12.160573697,2.204826735,3.7503862432,18
11.608602509,18.653090919,9.9693049858,3.9283906911,3.8470921256,11.882387782,19
7.8299718536,18.857458004,13.493809452,15.753056625,10.634566028,10.900605454,20
16.78891141,11.527661063,11.682876485,8.1068685255,6.6800160185,9.8258444683,21
11.85889291,16.200440816,11.895564531,17.534647302,7.1474448927,1.5964960032,22
15.033640333,15.988674019,8.9084166377,9.2825587471,16.408850566,3.0485441966,23
13.839526944,15.901339185,10.150440502,5.7816237072,10.901789188,12.793635686,24
14.044561438,18.159372339,7.5936979244,17.902083861,16.317060489,1.7288722822,25
16.901580881,17.249745399,5.6223377369,6.4867481976,14.485045463,7.3095747861,26
15.667817764,12.953624608,11.019497049,18.490956266,9.3091894723,4.3080734701,27
7.8448830582,18.599558989,12.811792069,16.717321679,14.684199978,5.5072055277,28
12.479759026,14.850118696,11.698526092,9.7676822976,6.5251564682,10.001390426,29
16.988035355,16.338640198,5.5195108342,16.960724809,13.889276415,9.5154881291,30
14.450134642,14.011415842,10.381626008,17.365404155,1.4526710026,4.7369561975,31
12.257356998,18.170495543,8.3876995069,9.3196382457,5.4497789852,2.0413486999,32
13.244141489,16.753564119,8.7125853258,7.9147881619,6.1396563724,3.3597319459,33
13.727037068,14.5201926,10.386224284,18.041457917,6.7867830135,9.6742207482,34
15.454228703,17.325413453,5.7223864745,3.2913734219,10.384220038,13.181957581,35
8.5054153949,16.169403153,13.823156799,6.7865676754,12.53399108,12.171952362,36
13.054427106,13.829145005,11.426099547,2.3042786284,7.2961666733,11.100566484,37
16.708551135,15.60574992,5.8818603323,18.255388531,9.5414343551,11.454276552,38
13.538853493,12.015232992,11.911515976,14.732582344,8.4934374653,2.8179217868,39
16.226592194,16.966812456,4.1623572009,5.3361903834,10.393929899,8.6623322098,40
15.523212753,18.15656236,3.6706878545,18.582134597,1.0599900633,6.7003290576,41
16.568523198,7.5885886429,13.140981526,16.185604504,12.250528622,4.8612056046,42
14.667064756,11.609386534,10.814558147,12.570989064,13.442968,2.9908927924,43
16.117895603,14.688931291,6.2490077568,16.807704181,13.656634644,9.4719700632,44
14.916193604,13.27809038,8.7290646236,7.6758207311,2.1421535574,6.6952192469,45
16.954748277,8.5994180692,11.156659371,16.582914975,10.632862631,2.6072213491,46
13.336348023,18.177138512,5.1348086845,5.890049601,1.0019044206,3.0666588161,47
14.892015092,18.95361156,2.7421276774,3.8967943569,13.010303274,13.637627759,48
9.3884848692,15.406437541,11.672079847,10.420072287,8.529355634,12.566923885,49
