instance,x1,x2,x3,x4,x5,x6
148,14.33060424,8.3297340353,13.900666353,18.673910565,16.106967039,12.670786788
278,11.765411951,16.548257737,13.318611677,13.810128147,14.411154285,13.167175355
70,11.914949026,15.230555382,8.9367232893,13.655108251,16.988657244,13.397478595
414,15.2807911,18.945920162,5.8237565761,17.218305446,8.7121982835,13.623036063
394,12.923446208,18.204884342,10.769064238,17.692280232,9.5714670308,9.6974119926
397,14.77259222,12.238630736,5.9328639521,17.351111174,16.65386717,11.457584219
9,14.108275868,17.701081959,12.579356859,12.213963068,8.7516301349,12.24158127
194,15.013956472,16.494981099,13.54215024,11.238750686,12.432649761,8.4755681143
244,14.144510463,11.50398854,7.9705487438,18.798604739,11.433486804,13.216459677
95,16.28409477,16.35055786,8.4539805404,16.340641964,7.1971853673,12.07398864
282,12.097627062,18.310219157,11.300524327,15.182130374,12.061638091,7.6276913732
72,14.303311773,17.923006248,11.088050219,15.210442854,6.9448833242,11.080076745
371,14.343770094,15.69783601,12.336280584,13.102377761,15.713770866,4.7852886829
349,16.566579908,18.09885359,13.292685184,7.8389663752,10.280291185,8.7909059431
111,10.590076316,13.561477887,9.6599403075,13.872619698,13.145238414,13.891958456
463,5.6983274817,17.209739854,9.4051828431,18.707614051,10.482785325,12.241977121
29,5.1009043902,14.538163283,11.796505465,18.906511278,10.182056256,12.80729711
13,8.7964664176,15.433155092,11.8684226,16.319577005,14.584471736,6.1154666236
245,13.717694797,15.367330255,3.2510145698,18.595516586,11.911876347,10.207589651
8,10.910818767,13.451317941,8.7212265718,14.98145208,13.988165982,10.947304255
283,12.704382192,17.306713314,13.441535077,7.1137397676,15.41766163,6.848040096
181,14.28959129,18.833364442,2.789883815,11.997576903,13.336388733,11.483414423
360,6.9776829928,13.251498667,11.119244926,18.677550029,11.398463048,11.148775824
460,10.603601534,17.843484581,8.8800756773,12.591850305,16.986267645,5.0893564732
22,14.688182808,18.264276605,13.346003251,7.6116690892,8.043531172,9.7538694036
118,12.701828338,17.892546081,10.577922481,3.7403957299,15.134466458,11.631440351
19,11.695779972,12.27852329,10.721913742,18.963364373,15.59289391,2.4068193084
267,11.49999103,18.888185869,4.4624037624,15.059599941,8.8381459154,12.552927582
366,15.690677069,6.6349695446,8.7818709228,16.471707291,13.874951888,9.5394489279
56,8.2675677054,17.288231897,9.8812340763,14.565464596,15.603483036,5.14722107
214,12.013874434,18.525903694,13.271497411,11.297417207,9.703036692,5.6038423977
279,14.678340506,5.8891480519,13.486443702,12.244770975,12.526060808,10.520422314
408,4.3075808957,17.115627044,11.623314863,17.797640792,6.6003336012,11.860099453
417,14.367437668,18.330629825,2.8538414659,8.4135024319,16.174475487,8.9996580307
21,14.186833754,9.2948274896,13.781899852,12.804638236,13.308630019,5.3831894565
186,13.492888592,16.513810667,3.6346753284,15.963853766,11.55947347,7.5578892652
212,9.9003722742,17.71837054,8.4604242309,17.555180274,8.9372023046,5.8079477989
434,12.72534797,11.879310609,11.049058076,6.070852994,13.796557233,12.346770084
326,8.0621319003,14.322247146,7.1746559087,9.1745942351,16.687152069,12.198031941
364,8.9874605499,18.802513238,8.0010324686,13.437471217,15.317710388,2.7258021228
494,16.041178595,11.820544667,10.425448558,16.208208485,6.8178050667,5.6355290387
375,12.925585203,18.015701254,1.4953237846,11.935183696,8.8651951849,13.709365126
47,9.3181662224,7.3309619515,13.7841635,9.8093091296,16.349873025,10.124559084
313,3.9340159334,14.615388158,12.765098193,14.324278085,7.1887313947,13.810579144
440,15.30590776,10.309391012,12.688184468,9.1534002703,15.830678731,3.2239668211
365,8.1781087853,13.820439237,8.8391432811,17.481305,15.275426511,2.9030969341
488,13.364709869,17.652308348,12.130768263,16.20474108,4.8195171021,2.3139923725
429,14.759430714,13.417761616,9.508110859,8.5753225242,10.764264088,9.4278233857
84,16.830022547,7.1847165795,13.888608096,10.993993561,13.93040948,3.5850692238
400,9.0957325771,13.652652118,12.704424503,4.4076225515,15.723272748,10.715708127
145,11.573347062,11.221331524,13.107771374,18.421409747,10.557502732,1.3770942073
142,8.6423874013,14.383443891,12.736563442,17.88499407,6.2377312705,6.3318546484
403,11.522190638,7.7763198256,10.297461648,14.356837094,12.640982144,9.6187216942
443,16.339687981,15.659668063,9.2910700385,9.4993717517,7.3565783575,7.975614218
382,16.118172705,8.4249285082,12.468349861,15.368072032,7.6781836785,5.8510752958
121,13.846170068,16.873387327,11.013743741,4.0899698078,8.1341993734,11.889659989
192,15.10701042,14.241054165,3.5888514747,11.599071261,12.96994745,8.1865988479
445,10.945314836,11.465920576,11.645392999,14.088672087,5.128135927,12.330381342
129,9.486008428,16.822708677,1.3223369792,16.123483944,16.991660643,4.8225851769
281,7.5597650968,12.254478049,9.6491959875,11.364071442,11.69189347,12.879114869
262,10.799616393,17.285251535,2.7475029929,17.894029854,11.508038037,5.1636719371
51,4.7048525065,18.953958281,6.7864474491,5.3306239406,16.789067741,12.797449812
454,13.879596245,18.737023035,6.6617576156,4.2045280025,8.4286040813,13.362858387
433,9.7921871915,8.9243144118,12.723147669,13.395025607,8.6751675643,11.724623632
284,15.792212479,17.809443052,10.126834259,11.032366266,1.7402745038,8.7039805315
446,11.002757661,17.515702839,4.7152388012,17.497034224,4.5441954806,9.9162451893
141,10.750736099,11.476418176,13.845427594,13.28380504,2.7356660403,13.039923763
67,14.837881163,13.074137206,7.76249384,2.7043252499,13.43353083,13.199217106
500,11.777049743,10.330688057,5.7716979778,18.562006043,6.6154512875,11.907425706
389,7.1780882999,1.1101069851,13.429870383,14.079521773,15.303798188,13.788857274
234,14.562743407,17.429598155,11.534505711,6.1898744097,7.6386194043,7.4178166219
277,12.841288906,16.540296953,1.4361543502,10.333029471,10.619712781,12.89013086
367,15.609800536,17.385760135,3.3961285334,11.974735953,7.7119986191,8.5114075681
489,10.405024678,16.072992436,9.0614178386,16.45501432,8.8719644882,3.4937072734
291,10.639846426,15.756119616,5.565786262,8.846986481,10.289293472,13.249127849
444,6.7252939381,18.49175468,4.2850244672,9.9488467244,14.054728307,10.806041959
128,15.130629126,12.833823193,10.727684169,14.711845088,9.3762006238,1.3563057536
78,13.147333518,10.36762555,1.5356577828,18.86337103,11.986234467,8.0743655185
456,14.888068646,2.015916856,7.8650546749,12.644876467,16.352548443,9.8507494072
50,14.744981781,8.2843353092,5.6788742412,16.612776326,11.401464161,6.8701872856
81,7.1557374299,14.055075366,12.847909247,6.3055198882,16.721925974,6.4569764696
396,4.339566581,17.877089453,13.733704559,5.4220678597,10.68164039,11.262044076
341,6.5681834593,18.733251883,8.9817111867,4.609550151,12.796318039,11.536128187
275,1.0318522826,16.234870762,1.2369804601,17.84281728,14.628593214,12.185734646
257,14.328847025,17.145528428,11.828235378,7.636351774,8.2667329051,3.8184584542
16,16.309470493,5.8461844195,5.89808086,18.370055242,3.1518890671,13.422977991
207,11.590926033,6.4577879426,5.8864208821,11.74776111,14.237231996,13.05883473
377,15.230760533,14.364337045,10.946317706,9.2512381775,6.5978904851,6.3788072013
322,3.6980616376,12.107036281,8.0762563534,13.813910351,16.287016731,8.7820294665
345,11.872747291,13.0701404,10.206071754,6.008080611,11.314699914,10.098972683
410,12.305173486,13.965329599,2.4940122648,16.26351921,10.511258658,6.8941037387
43,7.7301742658,11.784857557,4.1487136469,16.736460167,9.8789758757,12.138473647
432,15.955667999,10.19712,7.9910260246,11.411703966,8.3377208039,8.5105771872
457,16.659131911,5.48192917,6.4519384545,13.561863237,6.1392384991,13.966684896
471,10.894603726,15.774234954,9.7560318483,10.435983717,9.9699005671,5.3980657649
263,13.976501852,11.61406732,12.447699253,8.0850376827,4.3941386044,11.652669885
49,1.3617730103,15.369810313,9.9947291629,17.256073837,7.4196098931,10.724656411
381,13.680008657,17.320581165,3.8846273024,6.8570419378,8.8032672815,11.486481214
116,15.537257373,3.2650302988,1.029138213,18.973892999,12.618871666,10.603429096
298,12.025462072,14.395812097,10.536586776,7.0864195786,13.553539164,4.3492656413
336,3.0906132311,8.9294534363,5.4497293539,14.596497733,15.955421653,13.72622616
485,7.6785781346,10.961507278,9.9803375993,16.800242766,11.067904249,5.2180946737
161,12.402306329,5.808328853,13.22650804,18.542463179,1.2611410394,10.459530804
98,16.579539225,4.5088511733,13.046270369,5.3211367996,11.944332015,10.289478815
461,15.72132083,12.367691107,5.8421811487,1.1767058033,16.195307236,10.301157829
80,2.5136343837,12.326359611,6.150130826,18.475273914,15.867661554,6.0922362306
20,15.093056597,17.752205777,12.890746162,3.2488568299,8.4534828588,3.897059008
299,16.010819964,7.6301887324,11.913036225,14.338842929,9.3068562895,2.0272251896
438,4.1157820299,17.683400548,10.40449975,4.0723068034,11.558652788,13.382384696
150,10.283523887,9.3428454851,8.6280935449,12.841298522,15.922944084,4.1591342629
265,10.461626291,18.153585963,4.0494002094,12.407146624,5.3628957421,10.597198314
477,14.234989468,12.99645454,2.7214450829,16.722199327,12.330940966,2.0034942883
65,14.561719462,9.7455624803,4.807539271,10.415941329,7.513152726,13.896688779
189,10.789179329,15.676863344,6.5675513041,2.8758423827,13.993436981,10.896980642
93,10.498699531,17.828372613,12.208966834,1.140296882,15.920211092,3.1730159433
176,4.9318360165,18.781786514,13.01002935,6.394642544,6.8444254585,10.772024432
425,15.084826063,14.538754882,6.7735587303,2.500286601,13.466215532,8.3588540943
316,9.6640044563,10.730808415,1.7122700752,16.58069574,9.0940718874,12.77955943
124,4.3840104416,15.127795244,4.0344665826,16.034736081,12.309694164,8.5488342266
196,4.1793976352,15.869004439,13.073157044,10.248617876,14.986245215,2.0574000478
158,15.590375133,13.07242521,2.7626552393,12.488747988,10.903053246,5.5657611729
185,11.888571505,17.310379404,3.5709221165,8.8051165403,13.134390023,5.6279216078
315,8.6673252061,16.224464164,4.1824016736,16.304934344,1.1688958183,13.71861036
359,13.75950155,13.728689173,5.8925782344,14.225061548,10.115787938,2.5287003911
497,7.4678824656,9.9252497684,7.1130366381,17.223485282,10.817061502,7.6172957979
386,13.885440994,18.979894773,9.2970426683,7.5560263027,1.5746573582,8.7353845332
449,11.811089959,15.781684261,7.8063664651,18.865350258,3.4722772129,2.2192621948
486,11.445417371,5.979384013,8.2249795955,17.645137826,14.190145466,2.3652553738
261,1.5658898428,10.192030646,11.533594348,18.612753752,16.101246893,1.8445604658
105,13.615170237,9.8106601876,9.0000184861,10.269361993,5.6970056519,11.331071738
83,6.8532814495,12.448009357,13.057234556,9.6108539221,5.24756727,12.478839037
325,13.762428924,6.1914636018,1.7104564297,10.828522664,15.259528052,11.917559006
395,12.346723601,8.4906557258,9.9149524558,10.729146732,16.253084261,1.7303935722
143,7.6747564599,18.170727944,9.0064692532,6.3040452139,9.6883625537,8.5266988475
36,7.8451724015,8.3955637175,10.077675473,18.793688342,8.7709335722,5.3716654696
38,14.748380553,7.5630234191,8.0140971777,11.674384756,6.5955469571,10.626520465
33,13.284819327,15.688217366,4.4675609516,17.317450834,3.8925553486,4.4585328687
61,16.901737429,17.995343938,12.544484536,6.5330230715,2.3094296381,2.7586416502
487,12.167459849,11.510919963,11.906107411,2.1539240661,12.284711774,8.9157285986
369,11.068614867,14.012337952,3.3052977589,10.095607948,7.79697733,12.565400691
60,6.043626003,11.497464083,4.0796872014,16.163267985,9.8389356472,11.110832612
407,9.461041946,10.994867441,10.166304291,15.584123839,1.0413263813,11.409666744
351,9.3133677728,16.321129497,10.517531419,17.834539346,3.2912211344,1.3759399438
119,13.229473967,16.374493588,9.5483602732,13.173795268,1.8958068229,4.3696354434
243,1.0522337407,17.486050109,10.008034763,14.867503107,11.714447439,3.4627588533
75,8.8234948441,2.1883749915,12.27113904,10.868788526,10.887464963,13.467072453
122,10.89924277,10.97601898,11.650663012,5.5244237301,5.8720548637,13.447831035
147,14.900127605,10.594710355,1.9418300032,17.35842912,12.139399957,1.4142509026
406,13.229921903,8.0084272763,5.9506961622,7.0504983333,11.041504502,12.971415282
448,14.998568241,13.114924888,10.508898557,4.0510840719,3.5313824713,11.99941319
108,9.9583277218,9.6604882837,8.7549781916,10.065149725,10.116280615,9.5727014074
423,8.0430341549,6.3609993239,4.8003766281,16.763785155,9.6753365286,12.314412946
295,12.610294193,8.5248271818,5.2111941092,4.7856488572,13.773756053,13.049696236
55,9.5663721114,1.8416319937,11.050776725,9.7944990611,16.361791752,9.3138114461
39,13.989076328,3.6336537939,6.4559780378,14.041774434,8.8338931464,10.961328398
79,16.649160046,4.1373313409,12.639580808,12.72555946,1.5253862515,10.231042383
416,13.490395863,4.0116706197,1.6031278425,17.202511732,13.484131888,8.0995578822
183,13.521318454,11.411875317,12.018978454,14.546628444,2.1626769081,4.2099636784
287,5.8818175569,6.1157826898,11.45430784,14.827364138,15.540235817,3.9444271373
85,6.0249694623,6.9907422997,8.6935311761,14.272156356,9.586004585,12.163018588
222,11.947727017,4.1439124844,4.9165478281,18.93292931,5.665611282,12.12293194
304,15.686516866,16.388391181,12.184046425,8.3121587015,1.2067668997,3.9306858117
301,13.999276202,10.693562749,5.3399850486,15.549254572,3.2120880596,8.8317630598
159,13.024007037,3.1074099257,1.536329278,17.028558001,16.268984839,6.5213732878
99,10.032186329,1.7510860446,10.856053573,18.055943945,14.228218026,2.5462672326
274,10.065503288,17.636459166,1.2115195286,10.841684175,15.979851365,1.5752679342
190,15.03617122,4.2183287349,3.7292460543,10.595943894,10.987575762,12.709265646
23,11.782896273,5.0601513917,6.2040500427,14.987155441,16.169839598,3.0058163037
179,12.703967731,6.4461460491,9.6577053468,3.2595264227,14.795801364,10.328510264
441,7.3902743794,14.194076493,12.801608158,5.4826628589,7.4030190036,9.8886428433
374,2.3734604158,6.0949417539,11.139777503,17.933497231,16.030485697,3.5612644958
136,9.7861841768,12.523329785,7.4630743947,3.5297736828,10.350832183,13.434273672
430,16.956833277,2.7349277376,2.9384109115,18.405210952,5.8174019642,10.154776554
52,14.312829576,5.5125655667,2.2302240145,12.423235859,9.9845685735,12.50377981
213,10.04583022,16.424499963,4.3482463276,18.314723437,5.0560426079,2.6592425997
205,8.3526332788,9.8084902135,13.239969056,10.331809426,5.3008600175,9.7939034007
412,14.692433551,3.9575125952,11.853505718,4.7521683048,11.05566375,10.408971954
114,15.523936119,9.7425356535,4.7255759835,13.835510079,5.9804792851,6.8480635658
172,6.581035316,18.744949264,7.7601465457,9.9674898037,12.439203266,1.0748690199
117,4.4928502589,4.967757191,9.9225930271,9.3110551392,16.897999596,10.966599217
73,15.530620176,9.9632758773,7.5354795887,1.5092421458,8.6635020263,13.321705086
290,4.9954454526,13.188255925,13.11761645,15.09783851,2.9448034465,7.0043257908
30,5.9357582144,15.138604118,7.5958134991,9.8762407931,6.7303985693,11.021893456
1,13.266321994,6.7538760696,11.484473285,18.81067025,2.8825818375,3.0372958058
264,7.1999650374,12.544508654,7.1134803607,11.211965523,15.235000845,2.9289829764
58,4.1398877837,5.49155465,6.8330794428,17.41008267,8.7767067291,13.462227753
